iteration,secondPartCharge,compensationCharge,waterUndertaker,volume,source,eiucSource,season,loss,region,abatementAdjustment,s127Agreement,s130Agreement,billableDays,abstractableDays,expChargeValue,expSucFactor,expVolumeFactor,expSourceFactor,expSeasonFactor,expLossFactor,expAbatementAdjustment,expS127Agreement,expS130Agreement,expEiucSourceFactor,expEiucFactor,expDP_sourceFactor,expDP_seasonFactor,expDP_lossFactor,expDP_volumeFactor,expDP_abatementAdjustment,expDP_s127Agreement,expDP_s130Agreement,expDP_secondPartCharge,expDP_waterUndertaker,expDP_eiucFactor,expDP_compensationCharge,expDP_eiucSourceFactor,expDP_sucFactor
1,false,false,false,10785,Supported,,All Year,Medium,Devon and Cornwall (South West),0.50,false,true,238,366,103672.58,19.71,10785,3.0,1.0,0.6,S126 x 0.5,,S130S x 0.833,0.0,0.0,32355,32355,19413,10785,191315.115,191315.115,159429.2624,false,false,0,false,0,382630.23
2,false,false,false,6.4827,Unsupported,,All Year,Medium,Thames,1.00,false,false,210,366,30.89,13.84,6.4827,1.0,1.0,0.6,S126 x 1.0,,,0.0,0.0,6.4827,6.4827,3.88962,6.4827,53.8323408,53.8323408,53.8323408,false,false,0,false,0,53.8323408
3,false,false,false,12.502,Unsupported,,Winter,High,North and South Wessex,1.00,false,false,152,152,39.43,19.71,12.502,1.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,12.502,2.00032,2.00032,12.502,39.4263072,39.4263072,39.4263072,false,false,0,false,0,39.4263072
4,false,false,false,2722.277,Unsupported,,Winter,High,Wales,1.00,false,false,152,152,5914.96,13.58,2722.277,1.0,0.16,1.0,S126 x 1.0,,,0.0,0.0,2722.277,435.56432,435.56432,2722.277,5914.963466,5914.963466,5914.963466,false,false,0,false,0,5914.963466
5,false,true,false,27.277,Unsupported,Unsupported,Winter,High,Devon and Cornwall (South West),1.00,false,false,152,152,56.34,0,27.277,0,0.16,1.0,S126 x 1.0,,,1.0,12.91,0,4.36432,4.36432,27.277,56.3433712,0,56.3433712,false,false,56.3433712,true,27.277,0
6,false,false,false,20.458,Tidal,,Summer,High,Thames,1.00,true,false,139,245,25.70,13.84,20.458,0.2,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,4.0916,6.54656,6.54656,20.458,90.6043904,45.3021952,45.3021952,false,false,0,false,0,90.6043904
7,false,false,false,3.409,Tidal,,Summer,High,Devon and Cornwall (South West),1.00,true,false,31,245,1.36,19.71,3.409,0.2,1.6,1.0,S126 x 1.0,S127 x 0.5,,0.0,0.0,0.6818,1.09088,1.09088,3.409,21.5012448,10.7506224,10.7506224,false,false,0,false,0,21.5012448
8,false,false,false,3.805,Supported,,Summer,High,Anglian,0.10,false,false,365,366,50.11,27.51,3.805,3.0,1.6,1.0,S126 x 0.1,,,0.0,0.0,11.415,18.264,18.264,3.805,50.244264,50.244264,50.244264,false,false,0,false,0,502.44264
9,false,false,false,1001.22,Unsupported,,Summer,High,Wales,1.00,false,false,2,25,1740.36,13.58,1001.22,1.0,1.6,1.0,S126 x 1.0,,,0.0,0.0,1001.22,1601.952,1601.952,1001.22,21754.50816,21754.50816,21754.50816,false,false,0,false,0,21754.50816
10,true,false,false,1002,Tidal,Supported,Winter,High,Northumbria,1.00,false,true,0,0,475.19,29.64,1002,0.2,0.16,1.0,S126 x 1.0,,S130U x 0.5,0.0,0.0,200.4,32.064,32.064,1002,950.37696,950.37696,475.18848,true,false,0,false,0,950.37696
